a	ə
defaults	d ə . f ə w l . t ˈe_ˈe . s ə_
defaults	d ə . f ə w l . t ˈe_ˈe . s ə_
defecte	d ə . f ˈe k . t ə
defensa	d ə . f ˈɛ n . s ə
defensar-me	d ə . f ə n . s ˈa ɾ m ə
defensava	d ə . f ə n . s ˈa . b ə
defenses	d ə . f ˈɛ n . s ə s
defensor	d ə . f ə n . s ˈo
defensors	d ə . f ə n . s ˈo s
deficiència	d ə . f i . s i . ˈɛ n . s i . ə
defineix	d ə . f i . n ˈɛ ʃ
defineixen	d ə . f i . n ˈɛ ʃ ə n
definia	d ə . f i . n ˈi . ə
definicions	d ə . f i . n i . s i . ˈo n s
definir	d ə . f i . n ˈi
definitiu	d ə . f i . n i . t ˈi w
definitiva	d ə . f i . n i . t ˈi . β ə
definitivament	d ə . f i . n i . t ˈi . β ə . m ˈe n 
deflagració	d ə . f l ə . ɣ ɾ ə . s i . ˈo
deformació	d ə . f u ɾ . m ə . s i . ˈo
deformats	d ə . f u ɾ . m ˈa t s
deformi	d ə . f ˈo ɾ . m i
deformitat	d ə . f u ɾ . m i . t ˈa t
defugir	d ə . f u . ʒ ˈi
degenera	d ə . ʒ ə . n ˈe . ɾ ə
degenerativa	d ə . ʒ ə . n ə . ɾ ə . t ˈi . β ə
degraden	d ə . ɣ ɾ ˈa . ð ə n
degudament	d ə . ɣ ˈu . ð ə . m ˈe n 
degudes	d ə . ɣ ˈu . ð ə s
degut	d ə . ɣ ˈu t
deia	d ˈɛ . j ə
deien	d ˈɛ . j ə n
deixa	d ˈe . ʃ ə
deixada	d ə ʃ ˈa . ð ə
deixa-ho	d ˈɛ ʃ ə u
deixa'm	d ˈɛ ʃ ə m
deixant	d ə ʃ ˈa n 
deixant-lo	d ə ʃ ˈa n l u
deixant-me	d ə ʃ ˈa n m ə
deixar	d ə ʃ ˈa
deixaré	d ə ʃ ə . ɾ ˈe
deixarà	d ə ʃ ə . ɾ ˈa
deixarem	d ə ʃ ə . ɾ ˈɛ m
deixar-ho	d ə ʃ ˈa ɾ u
deixaries	d ə ʃ ə . ɾ ˈi . ə s
deixar-la	d ə ʃ ˈa ɾ l ə
deixar-li	d ə ʃ ˈa ɾ l i
deixar-los	d ə ʃ ˈa ɾ l u s
deixar-me	d ə ʃ ˈa ɾ m ə
deixar-nos	d ə ʃ ˈa ɾ n u s
deixar-se	d ə ʃ ˈa ɾ s ə
deixés	d ə ʃ ˈe s
deixat	d ə ʃ ˈa t
deixa't	d ˈɛ ʃ ə t
deixava	d ə ʃ ˈa . b ə
deixaven	d ə ʃ ˈa . b ə n
deixà	d ə ʃ ˈa
deixem	d ə ʃ ˈɛ m
deixem-ho	d ə ʃ ˈɛ m u
deixem'ho	d ə ʃ ˈɛ m u
deixen	d ˈe . ʃ ə n
deixes	d ˈe . ʃ ə s
deixessin	d ə ʃ ˈe . s i n
deixeu	d ə ʃ ˈɛ w
deixeu-me	d ə ʃ ˈe w m ə
deixi	d ˈe . ʃ i
deixi'm	d ˈɛ ʃ i m
deixis	d ˈe . ʃ i s
deixo	d ˈe . ʃ u
deixondeix	d ə ʃ u n . d ˈɛ ʃ
del	d ə l
delator	d ə . l ə . t ˈo
delegació	d ə . l ə . ɣ ə . s i . ˈo
delerosa	d ə . l ə . ɾ ˈɔ . z ə
delhi	d ˈɛ l i
delia	d ə . l ˈi . ə
deliciós	d ə . l i . s i . ˈo s
delicte	d ə . l ˈi k . t ə
delimitada	d ə . l i . m i . t ˈa . ð ə
delimiten	d ə . l i . m ˈi . t ə n
delinqüents	d ə . l i n . k w ˈe n s
deliri	d ə . l ˈi . ɾ i
dels	d ə l s
deltaic	d ə l . t ˈa j k
demana	d ə . m ˈa . n ə
demanada	d ə . m ə . n ˈa . ð ə
demanant	d ə . m ə . n ˈa n 
demanar	d ə . m ə . n ˈa
demanarà	d ə . m ə . n ə . ɾ ˈa
demanarem	d ə . m ə . n ə . ɾ ˈɛ m
demanaren	d ə . m ə . n ˈa . ɾ ə n
demanaria	d ə . m ə . n ə . ɾ ˈi . ə
demanar-li	d ə . m ə . n ˈa ɾ l i
demanar-me	d ə . m ə . n ˈa ɾ m ə
demanar-ne	d ə . m ə . n ˈa ɾ n ə
demanar-nos-ho	d ə . m ə . n ˈa ɾ n u z u
demanat	d ə . m ə . n ˈa t
demanava	d ə . m ə . n ˈa . b ə
demanà	d ə . m ə . n ˈa
demandants	d ə . m ə n . d ˈa n s
demandar	d ə . m ə n . d ˈa
demanem	d ə . m ə . n ˈɛ m
demanen	d ə . m ˈa . n ə n
demanes	d ə . m ˈa . n ə s
demani	d ə . m ˈa . n i
demano	d ə . m ˈa . n u
demarcació	d ə . m ə ɾ . k ə . s i . ˈo
demés	d ə . m ˈe s
dematí	d ə . m ə . t ˈi
demà	d ə . m ˈa
democràcia	d ə . m u . k ɾ ˈa . s i . ə
democràtica	d ə . m u . k ɾ ˈa . t i . k ə
democràtics	d ə . m u . k ɾ ˈa . t i k s
demolir	d ə . m u . l ˈi
demores	d ə . m ˈo . ɾ ə s
demostra	d ə . m ˈɔ s . t ɾ ə
demostrar	d ə . m u s . t ɾ ˈa
demostrarà	d ə . m u s . t ɾ ə . ɾ ˈa
demostraria	d ə . m u s . t ɾ ə . ɾ ˈi . ə
demostrar-me	d ə . m u s . t ɾ ˈa ɾ m ə
demostren	d ə . m ˈɔ s . t ɾ ə n
dempeus	d ə m . p ˈɛ w s
denúncies	d ə . n ˈu n . s i . ə s
denegada	d ə . n ə . ɣ ˈa . ð ə
denominat	d ə . n u . m i . n ˈa t
densament	d ˈɛ n . s ə . m ˈe n 
dent	d ˈe n 
dentadura	d ə n . t ə . ð ˈu . ɾ ə
dentifrici	d ə n . t i . f ɾ ˈi . s i
dents	d ˈe n s
denuncien	d ə . n u n . s ˈi . ə n
deontologia	d ə . u n . t u . l u . ʒ ˈi . ə
depèn	d ə . p ˈɛ n
departament	d ə . p ə ɾ . t ə . m ˈe n
depauperació	d ə . p ə w . p ə . ɾ ə . s i . ˈo
dependrà	d ə . p ə n . d ɾ ˈa
depenem	d ə . p ə . n ˈɛ m
depenen	d ə . p ˈɛ . n ə n
depenent	d ə . p ə . n ˈe n 
depilar	d ə . p i . l ˈa
depilar-me	d ə . p i . l ˈa ɾ m ə
deposar	d ə . p u . z ˈa
deposicionals	d ə . p u . z i . s i . u . n ˈa l s
depurador	d ə . p u . ɾ ə . d ˈo
derivats	d ə . ɾ i . b ˈa t s
deriven	d ə . ɾ ˈi . β ə n
derivin	d ə . ɾ ˈi . β i n
derrapat	d ə . r ə . p ˈa t
derrota	d ə . r ˈɔ . t ə
derrotat	d ə . r u . t ˈa t
des	d ˈe s
desa	d ˈe . z ə
desè	d ə . z ˈɛ
desaconsellada	d ə . z ə . k u n . s ə . ʎ ˈa . ð ə
desacord	d ə . z ə . k ˈɔ ɾ t
desactivat	d ə . z ə k . t i . b ˈa t
desafiament	d ə . z ə . f i . ə . m ˈe n
desafiants	d ə . z ə . f i . ˈa n s
desagradable	d ə . z ə . ɣ ɾ ə . ð ˈa . β l ə
desagradables	d ə . z ə . ɣ ɾ ə . ð ˈa . β l ə s
desallotjat	d ə . z ə . ʎ u t . ʒ ˈa t
desamor	d ə . z ə . m ˈo ɾ
desamors	d ə . z ə . m ˈo ɾ s
desanimar-lo	d ə . z ə . n i . m ˈa ɾ l u
desant	d ə . z ˈa n 
desaparèixer	d ə . z ə . p ə . ɾ ˈɛ ʃ ə
desapareguessin	d ə . z ə . p ə . ɾ ə . g ˈe . s i n
desaparegut	d ə . z ə . p ə . ɾ ə . ɣ ˈu t
desapareix	d ə . z ə . p ə . ɾ ˈɛ ʃ
desapareixen	d ə . z ə . p ə . ɾ ˈɛ ʃ ə n
desapareixent	d ə . z ə . p ə . ɾ ə ʃ ˈe n 
desapareixeria	d ə . z ə . p ə . ɾ ə ʃ ə . ɾ ˈi . ə
desaparició	d ə . z ə . p ə . ɾ i . s i . ˈo
desar	d ə . z ˈa
desar-hi	d ə . z ˈa ɾ i
desarmar	d ə . z ə ɾ . m ˈa
desèrtica	d ə . z ˈɛ ɾ . t i . k ə
desastre	d ə . z ˈa s . t ɾ ə
desastres	d ə . z ˈa s . t ɾ ə s
desat	d ə . z ˈa t
desatenció	d ə . z ə . t ə n . s i . ˈo
desava	d ə . z ˈa . b ə
desànim	d ə . z ˈa . n i m
desbloquejar-la	d ə s . b l u . k ə . ʒ ˈa ɾ l ə
desbocades	d ə s . b u . k ˈa . ð ə s
desbordar	d ə s . b u ɾ . d ˈa
descafeïnat	d ə s . k ə . f ə . ˈi . n ˈa t
descalços	d ə s . k ˈa l . s u s
descampat	d ə s . k ə m . p ˈa t
descans	d ə s . k ˈa n s
descansa	d ə s . k ˈa n . s ə
descansada	d ə s . k ə n . s ˈa . ð ə
descansant	d ə s . k ə n . s ˈa n 
descansar	d ə s . k ə n . s ˈa
descansava	d ə s . k ə n . s ˈa . b ə
descansen	d ə s . k ˈa n . s ə n
descanso	d ə s . k ˈa n . s u
descarat	d ə s . k ə . ɾ ˈa t
descarregar	d ə s . k ə . r ə . ɣ ˈa
descarregar-la	d ə s . k ə . r ə . ɣ ˈa ɾ l ə
descarrega't	d ə s . k ə . r ˈɛ . g ə t
descarreguen	d ə s . k ə . r ˈɛ . g ə n
descarta	d ə s . k ˈa ɾ . t ə
descartant	d ə s . k ə ɾ . t ˈa n 
descarten	d ə s . k ˈa ɾ . t ə n
descàrrega	d ə s . k ˈa . r ə . ɣ ə
descendència	d ə s . s ə n . d ˈɛ n . s i . ə
descendent	d ə s . s ə n . d ˈe n 
descens	d ə s . s ˈɛ n s
desclot	d ə s . k l ˈɔ t
descobert	d ə s . k u . b ˈɛ ɾ t
descobertes	d ə s . k u . b ˈɛ ɾ . t ə s
descobríssim	d ə s . k u . β ɾ ˈi . s i m
descobreixin	d ə s . k u . β ɾ ˈɛ ʃ i n
descobridor	d ə s . k u . β ɾ i . d ˈo
descobridors	d ə s . k u . β ɾ i . d ˈo s
descobrim	d ə s . k u . β ɾ ˈi m
descobriment	d ə s . k u . b ɾ i . m ˈe n
descobrint	d ə s . k u . β ɾ ˈi n 
descobrir	d ə s . k u . β ɾ ˈi
descobrir-ne	d ə s . k u . β ɾ ˈi ɾ n ə
descomponen	d ə s . k u m . p ˈɔ . n ə n
descomptat	d ə s . k u m p . t ˈa t
descompte	d ə s . k ˈo m p . t ə
descomptes	d ə s . k ˈo m p . t ə s
desconcert	d ə s . k u n . s ˈɛ ɾ t
desconcertada	d ə s . k u n . s ə ɾ . t ˈa . ð ə
desconegudes	d ə s . k u . n ə . ɣ ˈu . ð ə s
desconegut	d ə s . k u . n ə . ɣ ˈu t
desconnectar	d ə s . k u . n ə k . t ˈa
desconnectar-les	d ə s . k u . n ə k . t ˈa ɾ l ə s
desconnectar-se	d ə s . k u . n ə k . t ˈa ɾ s ə
desconnectat	d ə s . k u . n ə k . t ˈa t
desconsol	d ə s . k u n . s ˈɔ l
descontrol	d ə s . k u n . t ɾ ˈɔ l
descosit	d ə s . k u . z ˈi t
descripció	d ə s . k ɾ i p . s i . ˈo
descripcions	d ə s . k ɾ i p . s i . ˈo n s
descrit	d ə s . k ɾ ˈi t
descriu	d ə s . k ɾ ˈi w
descriure	d ə s . k ɾ ˈi w . ɾ ə
descriurem	d ə s . k ɾ i w . ɾ ˈɛ m
desdentada	d ə s . d ə n . t ˈa . ð ə
desdibuixats	d ə s . d i . β u j . ʃ ˈa t s
desdir	d ə s . d ˈi
desdobla	d ə s . d ˈo . b l ə
desdoblar-lo	d ə s . d u . β l ˈa ɾ l u
desdoblat	d ə s . d u . β l ˈa t
desemboca	d ə . z ə m . b ˈɔ . k ə
desembocadura	d ə . z ə m . b u . k ə . ð ˈu . ɾ ə
desembre	d ə . z ˈe m . b ɾ ə
desempallegar-me	d ə . z ə m . p ə . ʎ ə . ɣ ˈa ɾ m ə
desena	d ə . z ˈɛ . n ə
desencadenant	d ə . z ə n . k ə . ð ə . n ˈa n 
desencadenar	d ə . z ə n . k ə . ð ə . n ˈa
desencadenaven	d ə . z ə n . k ə . ð ə . n ˈa . b ə n
desenes	d ə . z ˈɛ . n ə s
desenfocats	d ə . z ə m . f u . k ˈa t s
desengany	d ə . z ə n . g ˈa ɲ
desentonar	d ə . z ə n . t u . n ˈa
desenvolupament	d ə . z ə m . b u . l u . p ə . m ˈe n
desenvolupar	d ə . z ə m . b u . l u . p ˈa
desenvoluparà	d ə . z ə m . b u . l u . p ə . ɾ ˈa
desenvolupat	d ə . z ə m . b u . l u . p ˈa t
desenvolupats	d ə . z ə m . b u . l u . p ˈa t s
desert	d ə . z ˈɛ ɾ t
desertor	d ə . z ə ɾ . t ˈo
desesper	d ə . z ə s . p ˈe ɾ
desesperació	d ə . z ə s . p ə . ɾ ə . s i . ˈo
desesperada	d ə . z ə s . p ə . ɾ ˈa . ð ə
desesperadament	d ə . z ə s . p ə . ɾ ˈa . ð ə . m ˈe n 
desesperança	d ə . z ə s . p ə . ɾ ˈa n . s ə
desestimar	d ə . z ə s . t i . m ˈa
desfan	d ə s . f ˈa n
desfà	d ə s . f ˈa
desfer	d ə s . f ˈe
desfer-li	d ə s . f ˈe ɾ l i
desfer-me	d ə s . f ˈe ɾ m ə
desfet	d ə s . f ˈɛ t
desfigurat	d ə s . f i . ɣ u . ɾ ˈa t
desfilar	d ə s . f i . l ˈa
desfilat	d ə s . f i . l ˈa t
desgana	d ə s . g ˈa . n ə
desgastats	d ə s . g ə s . t ˈa t s
desgel	d ə s . ʒ ˈɛ l
desglaç	d ə s . g l ˈa s
desglossa	d ə s . g l ˈɔ . s ə
desglossar	d ə s . g l u . s ˈa
desgracia	d ə s . g ɾ ə . s ˈi . ə
desgraciada	d ə s . g ɾ ə . s i . ˈa . ð ə
desgraciades	d ə s . g ɾ ə . s i . ˈa . ð ə s
desgraciar	d ə s . g ɾ ə . s i . ˈa
desgrat	d ə s . g ɾ ˈa t
desgràcia	d ə s . g ɾ ˈa . s i . ə
deshidratades	d ə z i . ð ɾ ə . t ˈa . ð ə s
deshonest	d ə z u . n ˈe s t
desi	d ˈe . z i
desig	d ə . z ˈi t ʃ
designés	d ə . z i g . n ˈe s
desigs	d ə . z ˈi k s
desinhibint	d ə . z i n i . β ˈi n 
desinteressats	d ə . z i n . t ə . ɾ ə . s ˈa t s
desitgem	d ə . z i t . ʒ ˈɛ m
desitges	d ə . z ˈi d . ʒ ə s
desitgi	d ə . z ˈi t . ʒ i
desitja	d ə . z ˈi t . ʒ ə
desitjable	d ə . z i t . ʒ ˈa . β l ə
desitjada	d ə . z i t . ʒ ˈa . ð ə
desitjar	d ə . z i t . ʒ ˈa
desitjaria	d ə . z i t . ʒ ə . ɾ ˈi . ə
desitjar-li	d ə . z i t . ʒ ˈa ɾ l i
desitjat	d ə . z i t . ʒ ˈa t
desitjava	d ə . z i t . ʒ ˈa . b ə
desitjaven	d ə . z i t . ʒ ˈa . b ə n
desitjo	d ə . z ˈi t . ʒ u
deslligar-nos	d ə s . ʎ i . ɣ ˈa ɾ n u s
deslliurament	d ə s . ʎ i w . ɾ ə . m ˈe n
deslliureu-nos	d ə s . ʎ i w . ɾ ˈe w n u s
deslluïts	d ə s . ʎ u . ˈi t s
deslocalització	d ə s . l u . k ə . l i d . z ə . s i . ˈo
deslocalitzar	d ə s . l u . k ə . l i d . z ˈa
desmai	d ə s . m ˈa j
desmaiar	d ə s . m ə . j ˈa
desmanegat	d ə s . m ə . n ə . ɣ ˈa t
desmantellament	d ə s . m ə n . t ə . ʎ ə . m ˈe n
desmarcar-les	d ə s . m ə ɾ . k ˈa ɾ l ə s
desmesurada	d ə s . m ə . z u . ɾ ˈa . ð ə
desmuntava	d ə s . m u n . t ˈa . b ə
desordenat	d ə . z u ɾ . d ə . n ˈa t
desordre	d ə . z ˈɔ ɾ . d ɾ ə
desordres	d ə . z ˈɔ ɾ . d ɾ ə s
desorientat	d ə . z u . ɾ i . ə n . t ˈa t
desoxiribonucleic	d ə . z u k . s i . ɾ i . β u . n u . k l ˈɛ j k
despí	d ə s . p ˈi
despatx	d ə s . p ˈa t ʃ
despentinada	d ə s . p ə n . t i . n ˈa . ð ə
despentinat	d ə s . p ə n . t i . n ˈa t
despert	d ə s . p ˈɛ ɾ t
desperta	d ə s . p ˈɛ ɾ . t ə
despertador	d ə s . p ə ɾ . t ə . d ˈo
despertar	d ə s . p ə ɾ . t ˈa
despertaren	d ə s . p ə ɾ . t ˈa . ɾ ə n
despertés	d ə s . p ə ɾ . t ˈe s
despertat	d ə s . p ə ɾ . t ˈa t
despertava	d ə s . p ə ɾ . t ˈa . b ə
despertaven	d ə s . p ə ɾ . t ˈa . b ə n
despertà	d ə s . p ə ɾ . t ˈa
desperto	d ə s . p ˈɛ ɾ . t u
despietat	d ə s . p i . ə . t ˈa t
desplaçament	d ə s . p l ə . s ə . m ˈe n
desplaçaments	d ə s . p l ə . s ə . m ˈe n s
desplaçar-se	d ə s . p l ə . s ˈa ɾ s ə
desplaço	d ə s . p l ˈa . s u
desplacen	d ə s . p l ˈa . s ə n
desplegable	d ə s . p l ə . ɣ ˈa . β l ə
desplegables	d ə s . p l ə . ɣ ˈa . β l ə s
desplegant-se	d ə s . p l ə . ɣ ˈa n s ə
desplom	d ə s . p l ˈɔ m
desploma	d ə s . p l ˈɔ . m ə
desplomar-se	d ə s . p l u . m ˈa ɾ s ə
desprès	d ə s . p ɾ ˈɛ s
després	d ə s . p ɾ ˈe s
despreci	d ə s . p ɾ ˈe . s i
desprenia	d ə s . p ɾ ə . n ˈi . ə
despreniments	d ə s . p ɾ ə . n i . m ˈe n s
desprogramació	d ə s . p ɾ u . ɣ ɾ ə . m ə . s i . ˈo
despullada	d ə s . p u . ʎ ˈa . ð ə
despullo	d ə s . p ˈu . ʎ u
desqualificada	d ə s . k w ə . l i . f i . k ˈa . ð ə
destí	d ə s . t ˈi
destaca	d ə s . t ˈa . k ə
destacables	d ə s . t ə . k ˈa . β l ə s
destacar	d ə s . t ə . k ˈa
destacat	d ə s . t ə . k ˈa t
destapar	d ə s . t ə . p ˈa
destapava	d ə s . t ə . p ˈa . b ə
destina	d ə s . t ˈi . n ə
destinació	d ə s . t i . n ə . s i . ˈo
destinacions	d ə s . t i . n ə . s i . ˈo n s
destinada	d ə s . t i . n ˈa . ð ə
destinades	d ə s . t i . n ˈa . ð ə s
destinarà	d ə s . t i . n ə . ɾ ˈa
destinatari	d ə s . t i . n ə . t ˈa . ɾ i
destinataris	d ə s . t i . n ə . t ˈa . ɾ i s
destorb	d ə s . t ˈɔ ɾ p
destorben	d ə s . t ˈɔ ɾ . b ə n
destresa	d ə s . t ɾ ˈɛ . z ə
destrossa	d ə s . t ɾ ˈɔ . s ə
destrossar-la	d ə s . t ɾ u . s ˈa ɾ l ə
destrossat	d ə s . t ɾ u . s ˈa t
destrossaven	d ə s . t ɾ u . s ˈa . b ə n
destruïda	d ə s . t ɾ u . ˈi . ð ə
destruït	d ə s . t ɾ u . ˈi t
destrucció	d ə s . t ɾ u k . s i . ˈo
destrueix	d ə s . t ɾ u . ˈɛ ʃ
desvalgut	d ə s . b ə l . g ˈu t
desvalguts	d ə s . b ə l . g ˈu t s
desvariejar	d ə s . b ə . ɾ i . ə . ʒ ˈa
desvetllat	d ə s . b ə t . ʎ ˈa t
desvia	d ə s . b ˈi . ə
desviades	d ə s . b i . ˈa . ð ə s
desviament	d ə s . b i . ə . m ˈe n
desviaran	d ə s . b i . ə . ɾ ˈa n
desxifrar	d ə s . ʃ i . f ɾ ˈa
detall	d ə . t ˈa ʎ
detallada	d ə . t ə . ʎ ˈa . ð ə
detallades	d ə . t ə . ʎ ˈa . ð ə s
detalls	d ə . t ˈa ʎ s
detecció	d ə . t ə k . s i . ˈo
detecta	d ə . t ˈe k . t ə
detectar	d ə . t ə k . t ˈa
detectat	d ə . t ə k . t ˈa t
detectiu	d ə . t ə k . t ˈi w
detenció	d ə . t ə n . s i . ˈo
deteniment	d ə . t ə . n i . m ˈe n
determina	d ə . t ə ɾ . m ˈi . n ə
determinació	d ə . t ə ɾ . m i . n ə . s i . ˈo
determinada	d ə . t ə ɾ . m i . n ˈa . ð ə
determinades	d ə . t ə ɾ . m i . n ˈa . ð ə s
determinar	d ə . t ə ɾ . m i . n ˈa
determinés	d ə . t ə ɾ . m i . n ˈe s
determinat	d ə . t ə ɾ . m i . n ˈa t
determinen	d ə . t ə ɾ . m ˈi . n ə n
detesto	d ə . t ˈe s . t u
detingudament	d ə . t i n . g ˈu . ð ə . m ˈe n 
detingui	d ə . t ˈi n . g i
detingut	d ə . t i n . g ˈu t
detinguts	d ə . t i n . g ˈu t s
detlef	d ə t . l ˈe f
detroit	d ə . t ɾ ˈɔ j t
deu	d ˈɛ w
deuen	d ˈe . w ə n
deure	d ˈe w . ɾ ə
deures	d ˈe w . ɾ ə s
deuria	d ə w . ɾ ˈi . ə
deus	d ˈɛ w s
deute	d ˈe w . t ə
deutes	d ˈe w . t ə s
devíeu	d ə . β ˈi . ə w
devastador	d ə . β ə s . t ə . d ˈo
devia	d ə . β ˈi . ə
devien	d ə . β ˈi . ə n
devieu	d ə . β i . ˈɛ w
devoció	d ə . β u . s i . ˈo
devolució	d ə . β u . l u . s i . ˈo
devolucions	d ə . β u . l u . s i . ˈo n s
devorat	d ə . β u . ɾ ˈa t
devorava	d ə . β u . ɾ ˈa . b ə
devoro	d ə . b ˈo . ɾ u
dia	d ˈi . ə
diürna	d i . ˈu ɾ . n ə
diòxid	d i . ˈɔ k . s i t
diabètic	d i . ə . β ˈɛ . t i k
diada	d i . ˈa . ð ə
diadema	d i . ə . d ˈɛ . m ə
diagnòstics	d i . ə g . n ˈɔ s . t i k s
diagrama	d i . ə . ɣ ɾ ˈa . m ə
dialectes	d i . ə . l ˈɛ k . t ə s
diamants	d i . ə . m ˈa n s
diana	d i . ˈa . n ə
diapositives	d i . ə . p u . z i . t ˈi . β ə s
diari	d i . ˈa . ɾ i
diaris	d i . ˈa . ɾ i s
diàleg	d i . ˈa . l ə k
diàlegs	d i . ˈa . l ə k s
diàmetre	d i . ˈa . m ə . t ɾ ə
diària	d i . ˈa . ɾ i . ə
diàriament	d i . ˈa . ɾ i . ə . m ˈe n 
diàries	d i . ˈa . ɾ i . ə s
dibuix	d i . β ˈu ʃ
dibuixa	d i . β ˈu ʃ ə
dibuixables	d i . β u j . ʃ ˈa . β l ə s
dibuixada	d i . β u j . ʃ ˈa . ð ə
dibuixades	d i . β u j . ʃ ˈa . ð ə s
dibuixant-me	d i . β u j . ʃ ˈa n m ə
dibuixar	d i . β u j . ʃ ˈa
dibuixat	d i . β u j . ʃ ˈa t
dibuixats	d i . β u j . ʃ ˈa t s
dibuixava	d i . β u j . ʃ ˈa . b ə
dibuixaven	d i . β u j . ʃ ˈa . b ə n
dibuixi	d i . β ˈu ʃ i
dibuixos	d i . β ˈu ʃ u s
dic	d ˈi k
diccionari	d i k . s i . u . n ˈa . ɾ i
dictadura	d i k . t ə . ð ˈu . ɾ ə
dictamen	d i k . t ˈa . m ə n
dicti	d ˈi k . t i
didàctic	d i . ð ˈa k . t i k
diem	d i . ˈɛ m
dient	d i . ˈe n 
dient-li	d i . ˈe n l i
dient-me	d i . ˈe n m ə
dient-se	d i . ˈe n s ə
dies	d ˈi . ə s
dieta	d i . ˈɛ . t ə
dietari	d i . ə . t ˈa . ɾ i
dieu	d i . ˈɛ w
difícil	d i . f ˈi . s i l
difícils	d i . f ˈi . s i l s
diferència	d i . f ə . ɾ ˈɛ n . s i . ə
diferències	d i . f ə . ɾ ˈɛ n . s i . ə s
difereix	d i . f ə . ɾ ˈɛ ʃ
diferencia	d i . f ə . ɾ ə n . s ˈi . ə
diferenciació	d i . f ə . ɾ ə n . s i . ə . s i . ˈo
diferenciar	d i . f ə . ɾ ə n . s i . ˈa
diferenciats	d i . f ə . ɾ ə n . s i . ˈa t s
diferencien	d i . f ə . ɾ ə n . s ˈi . ə n
diferencio	d i . f ə . ɾ ə n . s ˈi . u
diferent	d i . f ə . ɾ ˈe n 
diferents	d i . f ə . ɾ ˈe n s
dificulta	d i . f i . k ˈu l . t ə
dificultat	d i . f i . k u l . t ˈa t
dificultats	d i . f i . k u l . t ˈa t s
difondre	d i . f ˈo n . d ɾ ə
difosa	d i . f ˈo . z ə
difunt	d i . f ˈu n 
difusió	d i . f u . z i . ˈo
digital	d i . ʒ i . t ˈa l
digitalització	d i . ʒ i . t ə . l i d . z ə . s i . ˈo
digitalment	d i . ʒ i . t ˈa l . m ˈe n 
digitals	d i . ʒ i . t ˈa l s
diglòssia	d i . ɣ l ˈɔ . s i . ə
digna	d ˈi g . n ə
digne	d ˈi g . n ə
dignes	d ˈi g . n ə s
digué	d i . g ˈe
digués	d i . g ˈe s
digue'ls-hi	d ˈi . g ə l z i
diguem-ne	d i . g ˈɛ m n ə
digueren	d i . g ˈe . ɾ ə n
digues	d ˈi . g ə s
digueu	d i . g ˈɛ w
digui	d ˈi . g i
digui'm	d ˈi . g i m
diguin	d ˈi . g i n
dijous	d i . ʒ ˈɔ w s
dilació	d i . l ə . s i . ˈo
dilapidada	d i . l ə . p i . ð ˈa . ð ə
dilatació	d i . l ə . t ə . s i . ˈo
dilluns	d i . ʎ ˈu n s
dilueix	d i . l u . ˈɛ ʃ
dimarts	d i . m ˈa ɾ s
dimecres	d i . m ˈe . k ɾ ə s
dimensió	d i . m ə n . s i . ˈo
dimensions	d i . m ə n . s i . ˈo n s
diminut	d i . m i . n ˈu t
dimoni	d i . m ˈɔ . n i
dimonis	d i . m ˈɔ . n i s
dinamarca	d i . n ə . m ˈa ɾ . k ə
dinamisme	d i . n ə . m ˈi s . m ə
dinar	d i . n ˈa
dinat	d i . n ˈa t
diners	d i . n ˈe s
dini	d ˈi . n i
dinosaures	d i . n u . z ˈa w . ɾ ə s
dinou	d i . n ˈɔ w
dinovè	d i . n u . b ˈɛ
dinovena	d i . n u . b ˈɛ . n ə
dins	d ˈi n s
dipòsit	d i . p ˈɔ . z i t
dipòsits	d i . p ˈɔ . z i t s
diplomatura	d i . p l u . m ə . t ˈu . ɾ ə
diposita	d i . p u . z ˈi . t ə
dipositaren	d i . p u . z i . t ˈa . ɾ ə n
dipositen	d i . p u . z ˈi . t ə n
diputació	d i . p u . t ə . s i . ˈo
diputacions	d i . p u . t ə . s i . ˈo n s
diputat	d i . p u . t ˈa t
diputats	d i . p u . t ˈa t s
dir	d ˈi
diré	d i . ɾ ˈe
diríeu	d i . ɾ ˈi . ə w
dirà	d i . ɾ ˈa
direcció	d i . ɾ ə k . s i . ˈo
direccions	d i . ɾ ə k . s i . ˈo n s
directa	d i . ɾ ˈɛ k . t ə
directament	d i . ɾ ˈɛ k . t ə . m ˈe n
directe	d i . ɾ ˈɛ k . t ə
directes	d i . ɾ ˈɛ k . t ə s
director	d i . ɾ ə k . t ˈo
directori	d i . ɾ ə k . t ˈɔ . ɾ i
directoris	d i . ɾ ə k . t ˈɔ . ɾ i s
directrius	d i . ɾ ə k . t ɾ ˈi w s
direu	d i . ɾ ˈɛ w
dirhams	d i ɾ ˈa m s
dir-ho	d ˈi ɾ u
diria	d i . ɾ ˈi . ə
diries	d i . ɾ ˈi . ə s
dirigeix	d i . ɾ i . ʒ ˈɛ ʃ
dirigeixi's	d i . ɾ i . ʒ ˈɛ ʃ i s
dirigeixo	d i . ɾ i . ʒ ˈɛ ʃ u
dirigia	d i . ɾ i . ʒ ˈi . ə
dirigida	d i . ɾ i . ʒ ˈi . ð ə
dirigides	d i . ɾ i . ʒ ˈi . ð ə s
dirigir	d i . ɾ i . ʒ ˈi
dirigir-se	d i . ɾ i . ʒ ˈi ɾ s ə
